filing_date,form,accession,primary_document,url
2022-07-08,SC 13D/A,0001104659-22-078413,tm2220599d1_sc13da.htm,https://www.sec.gov/Archives/edgar/data/1494730/000110465922078413/tm2220599d1_sc13da.htm
2022-06-15,4,0000899243-22-022688,xslF345X03/doc4.xml,https://www.sec.gov/Archives/edgar/data/1494730/000089924322022688/xslF345X03/doc4.xml
2022-06-07,CORRESP,0001104659-22-069086,filename1.htm,https://www.sec.gov/Archives/edgar/data/1494730/000110465922069086/filename1.htm
2022-06-06,SC 13D/A,0001104659-22-068347,tm2217761d1_sc13da.htm,https://www.sec.gov/Archives/edgar/data/1494730/000110465922068347/tm2217761d1_sc13da.htm
2022-05-25,SC 13D/A,0001104659-22-064655,tm2216931d1_sc13da.htm,https://www.sec.gov/Archives/edgar/data/1494730/000110465922064655/tm2216931d1_sc13da.htm
2022-05-17,DFAN14A,0001104659-22-061854,tm2215839d1_dfan14a.htm,https://www.sec.gov/Archives/edgar/data/1494730/000110465922061854/tm2215839d1_dfan14a.htm
2022-05-16,DFAN14A,0001104659-22-060629,tm2215619d1_dfan14a.htm,https://www.sec.gov/Archives/edgar/data/1494730/000110465922060629/tm2215619d1_dfan14a.htm
2022-05-05,SC 13D/A,0001104659-22-056055,tm2214608-1_sc13da.htm,https://www.sec.gov/Archives/edgar/data/1494730/000110465922056055/tm2214608-1_sc13da.htm
2022-04-29,4,0000899243-22-015995,xslF345X03/doc4.xml,https://www.sec.gov/Archives/edgar/data/1494730/000089924322015995/xslF345X03/doc4.xml
2022-04-29,4,0000899243-22-015991,xslF345X03/doc4.xml,https://www.sec.gov/Archives/edgar/data/1494730/000089924322015991/xslF345X03/doc4.xml
2022-04-29,4,0000899243-22-015989,xslF345X03/doc4.xml,https://www.sec.gov/Archives/edgar/data/1494730/000089924322015989/xslF345X03/doc4.xml
2022-04-28,4,0000899243-22-015955,xslF345X03/doc4.xml,https://www.sec.gov/Archives/edgar/data/1494730/000089924322015955/xslF345X03/doc4.xml
2022-04-28,4,0000899243-22-015949,xslF345X03/doc4.xml,https://www.sec.gov/Archives/edgar/data/1494730/000089924322015949/xslF345X03/doc4.xml
2022-04-28,4,0000899243-22-015942,xslF345X03/doc4.xml,https://www.sec.gov/Archives/edgar/data/1494730/000089924322015942/xslF345X03/doc4.xml
2022-04-28,4,0000899243-22-015924,xslF345X03/doc4.xml,https://www.sec.gov/Archives/edgar/data/1494730/000089924322015924/xslF345X03/doc4.xml
2022-04-28,4,0000899243-22-015923,xslF345X03/doc4.xml,https://www.sec.gov/Archives/edgar/data/1494730/000089924322015923/xslF345X03/doc4.xml
2022-04-27,SC 13D/A,0001104659-22-050686,tm2213741d1_sc13da.htm,https://www.sec.gov/Archives/edgar/data/1494730/000110465922050686/tm2213741d1_sc13da.htm
2022-04-26,SC 13D/A,0001104659-22-049844,tm2213189d8_sc13da.htm,https://www.sec.gov/Archives/edgar/data/1494730/000110465922049844/tm2213189d8_sc13da.htm
2022-04-21,SC 13D/A,0001104659-22-048128,tm2213229d1_sc13da.htm,https://www.sec.gov/Archives/edgar/data/1494730/000110465922048128/tm2213229d1_sc13da.htm
